Nom de la commune,Population 2017
Alincthun,330
Ambleteuse,1843
Audembert,432
Audinghen,582
Audresselles,649
Baincthun,1291
Bazinghen,393
Bellebrune,400
Belle-et-Houllefort,560
Beuvrequen,457
Boulogne-sur-mer,40874
Bournonville,240
Brunembert,418
Carly,551
Colembert,942
Condette,2506
Conteville-lès-Boulogne,478
Courset,515
Crémarest,786
Dannes,1316
Desvres,4985
Doudeauville,600
Echinghen,390
Equihen-Plage,2738
Ferques,1802
Halinghen,325
Henneveux,300
Hervelinghen,232
Hedsdigneul-lès-Boulogne,677
Hesdin-l’Abbé,1863
Isques,1153
La Capelle-lès-Boulogne,1629
Lacres,247
Landrethun-le-Nord,1299
Le Portel,9240
Leubringhen,295
Leulighen-Bernes,470
Le Wast,206
Longfossé,1452
Longueville,138
Lottinghen,545
Maninghen-Henne,314
Marquise,5088
Menneville,700
Nabringhen,212
Nesles,953
Neufchâtel-Hardelot,3746
Offrethun,264
Outreau,13422
Pernes-lès-Boulogne,421
Pittefaux,124
Quesques,676
Questrecques,307
Rety,2096
Rinxent,3001
Saint-Etienne-au-mont,5076
Saint-Inglevert,783
Saint-Léonard,3452
Saint-Martin-Boulogne,11204
Saint-Martin-Choquel,482
Samer,4496
Selles,333
Senlecques,269
Tardinghen,151
Tingry,290
Verlincthun,444
Vieil-Moutier,386
Wacquinghen,262
Wierre-au-Bois,226
Wierre-Effroy,857
Wimereux,6575
Wimille,4083
Wirwignes,746
Wissant,939
Total,
Moyenne,
Maximum,
