année / GWh,prod nucléaire,prod hydraulique,prod éolien,prod thermique,prod totale,% nucléaire
1981,99622,72683,0,92003,,
1982,103068,71045,0,92226,,
1983,136920,70738,0,76007,,
1984,181740,67429,0,60589,,
1985,213087,63414,0,52059,,
1986,241444,64423,0,40423,,
1987,251520,72061,0,37163,,
1988,260287,77846,0,35185,,
1989,288715,50185,0,48492,,
1990,297949,57212,0,45085,,
1991,314978,61302,0,57828,,
1992,321780,72218,0,48149,,
1993,350046,67621,0,32916,,
1994,341616,80606,0,32254,,
1995,358779,75790,0,36802,,
1996,378225,69933,0,41681,,
1997,375935,67227,0,37781,,
1998,368500,65795,0,52660,,
1999,374914,76694,0,48698,,
2000,395200,71593,0,49879,,
2001,401257,79101,0,45642,,
2002,416501,65296,0,52021,,
2003,420651,62068,0,54990,,
2004,427086,63580,0,56456,,
2005,429979,55177,963,62901,,
2006,428676,61259,2169,56817,,
2007,418611,63288,4140,58361,,
2008,418298,68058,5710,57002,,
2009,389999,61685,7595,58634,,
2010,407877,67360,9412,63611,,
2011,421074,50171,11624,56549,,
